Materialrückbuchung Drucken;Print material posting to a prior period;
Best.datum;Order date;
Z-LO Bez.;Central stock location description;
Bestandsübersicht suchen;Search for stock overview;
Der Status exisitiert in der Materialanforderung nicht;The status does not exist in material requisition;
"Freigegeben";Released;
Lst. Aufm.;Service measurement\r\n;
Verbunden mit einer Suche nach Leistungsaufmaßnummern werden die Leistungserfassungen im Einzelnen angelistet;The services entries are individually listed, linked to a search for service measurement numbers;
Materialaufmaß Nr.;Material measurement no.;
rückl. Menge;Return delivery quantity;
Bestellung drucken;Print order;
Ausschreibung suchen;Search for bid invitation;
Rücklief.;Return delivery;
Nr. einer Bestellung;Order no.;
Sie sind im Unternehmen {0} vermutlich mehreren Dienstleistern zugeordnet. Bitte kontaktieren Sie den Support.;You are presumably assigned to multiple service providers in the company {0}. Please contact support.;
Kurztext für Leisutngsaufmasse;Short text for service measurements;
Materialrückbuchung;Material posting to a prior period;
Kontierung
Kons.lieferant;Consignment vendor;
Leistungsaufmaß aus dem Extranet Dienstleister;;
Bedarfsmenge;Required quantity;
Chargenbezeichnung;Batch description;
Preisbez. Datum;Price reference date;
Lieferantennr.;Vendor number;
Dienstleistungspositionen zur Position {0};Service item to item {0};
Kz. Enderfg.;;
Best.-Nr.;PO number;
EON_BPEXD_COMPANY
Auftragsbestätigungen;Order confirmations;
Name (Kurztext) des Dienstleisters;Name (short text) of the service provider;
Eigene Dokumente;Internal documents;
Name (Kurzbezeichnung) des Unternehmens;Name (short text) of the company;
Einkäufergruppe;Purchasing group;
Abrech.;Settlement;
Löschen;Delete;
Materialanforderung;Material requisition;
Prüfen;Check;
Charge verw.;Manage batch;
Ort;Location;
Dienstleister;Service provider;
Einkaufsorg;Purchasing organization;
Materialanforderungen auf DL-LO anzeigen;Display material requisitions at service provider stock location;
Wert eines Leistungsaufmaßes;Value of a service measurement;
Löschkennzeichen;Delete flag;
TestView;Test view;
Bitte wählen Sie das gewünschte ReVU;Please select the desired RU.;
Kontrakt;Contract;
Bestellung anzeigen;Display order;
rückb. Menge;Post quantity to a prior period;
Alle Einträge für den Druck aktivieren;Activate all entries for printing;
"Abgenommen";Approved;
Langtext;Long text;
Dienstleisternr.;Service provider no.;
Bestandsübersicht anzeigen;Display stock overview;
Bitte klicken Sie auf die Verknüpfung (Link), um die Datei auf Ihren PC zu laden.;Please click on the link to download the file on your computer.;
Fenster schließen;Close window;
von;Of;
Erfassungsdatum;Entry date;
Leistungsaufmaße zur Bestellung;Service measurement for the order;
Leistungsselektion;Service selection;
Annahme;Acceptance;
unbestimmt;Undetermined;
Lagerortbeschreibung;Stock location descriptions;
Ihre Nummer;Your number;
Mat.-Aufmaß;Material measurement;
Anzeige aktualisieren;Refresh overview;
Zeitraum von;Period of;
Sachb. Ext.;;
Unternehmen:;Company:;
Bestellungen;Orders;
0800 - 10 333 01;0800 - 10 333 01;
Z-LO;Central stock location;
Alle entmarkieren;Deselect all;
Name;Name;
Pos;Item;
Kurztext (Name) einer Company;Short text (name) of a company;
Anzeige der Materialanforderungen und der daraus erstellten Reservierungen;Display of material requisitions and the generated reservations;
akt. Anz. / max. Anz. Anforderungen;Active payment / Max. payment requirements;
entn. Menge;quantity issued;
EON_BPEXD_USPCPORG
Kontaktadresse;Contact address;
Dokument;Document;
Erfasser;;
Bitte geben Sie eine Leistungsnummer ein;Please enter an service number;
Bitte allen chargenpflichtigen Materialien mindestens eine Charge zuordnen.;Please allocate at least one batch to all material handled in batches.;
Sie haben Änderungen vorgenommen. Wollen Sie diese verwerfen?;You have made changes. Do you want to discard them?;
